titles1,title2,title
Nine,Nine,Nine
Timeline,Timeline,Timeline
The Postman,The Postman,The Postman
Babe: Pig in the City,Babe: Pig in the City,Babe: Pig in the City
The Last Witch Hunter,The Last Witch Hunter,The Last Witch Hunter
Red Planet,Red Planet,Red Planet
Arthur and the Invisibles,Arthur and the Invisibles,Arthur and the Invisibles
Oceans,Oceans,Oceans
A Sound of Thunder,A Sound of Thunder,A Sound of Thunder
Pompeii,Pompeii,Pompeii
Top Cat Begins,Top Cat Begins,Top Cat Begins
A Beautiful Mind,A Beautiful Mind,A Beautiful Mind
The Lion King,The Lion King,The Lion King
Journey 2: The Mysterious Island,Journey 2: The Mysterious Island,Journey 2: The Mysterious Island
Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2
Red Dragon,Red Dragon,Red Dragon
Hidalgo,Hidalgo,Hidalgo
Jack and Jill,Jack and Jill,Jack and Jill
2 Fast 2 Furious,2 Fast 2 Furious,2 Fast 2 Furious
The Little Prince,The Little Prince,The Little Prince
The Invasion,The Invasion,The Invasion
The Adventures of Rocky & Bullwinkle,The Adventures of Rocky & Bullwinkle,The Adventures of Rocky (and) Bullwinkle
The Secret Life of Pets,The Secret Life of Pets,The Secret Life of Pets
The League of Extraordinary Gentlemen,The League of Extraordinary Gentlemen,The League of Extraordinary Gentlemen
Despicable Me 2,Despicable Me 2,Despicable Me 2
Independence Day,Independence Day,Independence Day
The Lost World: Jurassic Park,The Lost World: Jurassic Park,The Lost World: Jurassic Park
Madagascar,Madagascar,Madagascar
Children of Men,Children of Men,Children of Men
X-Men,X-Men,X-Men
Wanted,Wanted,Wanted
The Rock,The Rock,The Rock
Ice Age: The Meltdown,Ice Age: The Meltdown,Ice Age: The Meltdown
50 First Dates,50 First Dates,50 First Dates
Hairspray,Hairspray,Hairspray
Exorcist: The Beginning,Exorcist: The Beginning,Exorcist: The Beginning
Inspector Gadget,Inspector Gadget,Inspector Gadget
Now You See Me,Now You See Me,Now You See Me
Grown Ups,Grown Ups,Grown Ups
The Terminal,The Terminal,The Terminal
Hotel for Dogs,Hotel for Dogs,Hotel for Dogs
Vertical Limit,Vertical Limit,Vertical Limit
Charlie Wilson's War,Charlie Wilson`s War,Charlie Wilson`s War
Shark Tale,Shark Tale,Shark Tale
Dreamgirls,Dreamgirls,Dreamgirls
Be Cool,Be Cool,Be Cool
Munich,Munich,Munich
Tears of the Sun,Tears of the Sun,Tears of the Sun
Killers,Killers,Killers
The Man from U.N.C.L.E.,The Man from U.N.C.L.E.,The Man from U.N.C.L.E.
Spanglish,Spanglish,Spanglish
Monster House,Monster House,Monster House
Bandits,Bandits,Bandits
First Knight,First Knight,First Knight
Anna and the King,Anna and the King,Anna and the King
Immortals,Immortals,Immortals
Hostage,Hostage,Hostage
Titan A.E.,Titan A.E.,Titan A.E.
Hollywood Homicide,Hollywood Homicide,Hollywood Homicide
Soldier,Soldier,Soldier
Carriers,Carriers,Carriers
Monkeybone,Monkeybone,Monkeybone
Flight of the Phoenix,Flight of the Phoenix,Flight of the Phoenix
Unbreakable,Unbreakable,Unbreakable
Minions,Minions,Minions
Sucker Punch,Sucker Punch,Sucker Punch
Snake Eyes,Snake Eyes,Snake Eyes
Sphere,Sphere,Sphere
The Angry Birds Movie,The Angry Birds Movie,The Angry Birds Movie
Fool's Gold,Fool`s Gold,Fool`s Gold
Funny People,Funny People,Funny People
The Kingdom,The Kingdom,The Kingdom
Talladega Nights: The Ballad of Ricky Bobby,Talladega Nights: The Ballad of Ricky Bobby,Talladega Nights: The Ballad of Ricky Bobby
Dr. Dolittle 2,Dr. Dolittle 2,Dr. Dolittle 2
Braveheart,Braveheart,Braveheart
Jarhead,Jarhead,Jarhead
The Simpsons Movie,The Simpsons Movie,The Simpsons Movie
The Majestic,The Majestic,The Majestic
Driven,Driven,Driven
Two Brothers,Two Brothers,Two Brothers
The Village,The Village,The Village
Doctor Dolittle,Doctor Dolittle,Doctor Dolittle
Signs,Signs,Signs
Shrek 2,Shrek 2,Shrek 2
Cars,Cars,Cars
Runaway Bride,Runaway Bride,Runaway Bride
xXx,xXx,xXx
The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water
Ransom,Ransom,Ransom
Inglourious Basterds,Inglourious Basterds,Inglourious Basterds
Hook,Hook,Hook
Die Hard 2,Die Hard 2,Die Hard 2
S.W.A.T.,S.W.A.T.,S.W.A.T.
Vanilla Sky,Vanilla Sky,Vanilla Sky
Lady in the Water,Lady in the Water,Lady in the Water
AVP: Alien vs. Predator,AVP: Alien vs. Predator,AVP: Alien vs. Predator
Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks: The Squeakquel
We Were Soldiers,We Were Soldiers,We Were Soldiers
Olympus Has Fallen,Olympus Has Fallen,Olympus Has Fallen
Star Trek: Insurrection,Star Trek: Insurrection,Star Trek: Insurrection
Battle: Los Angeles,Battle: Los Angeles,Battle: Los Angeles
Big Fish,Big Fish,Big Fish
Wolf,Wolf,Wolf
War Horse,War Horse,War Horse
The Monuments Men,The Monuments Men,The Monuments Men
The Abyss,The Abyss,The Abyss
Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps
Dracula Untold,Dracula Untold,Dracula Untold
The Siege,The Siege,The Siege
Stardust,Stardust,Stardust
Seven Years in Tibet,Seven Years in Tibet,Seven Years in Tibet
The Dilemma,The Dilemma,The Dilemma
Bad Company,Bad Company,Bad Company
Doom,Doom,Doom
I Spy,I Spy,I Spy
Underworld: Awakening,Underworld: Awakening,Underworld: Awakening
Rock of Ages,Rock of Ages,Rock of Ages
Hart's War,Hart`s War,Hart`s War
Killer Elite,Killer Elite,Killer Elite
Rollerball,Rollerball,Rollerball
Ballistic: Ecks vs. Sever,Ballistic: Ecks vs. Sever,Ballistic: Ecks vs. Sever
Hard Rain,Hard Rain,Hard Rain
Osmosis Jones,Osmosis Jones,Osmosis Jones
Legends of Oz: Dorothy's Return,Legends of Oz: Dorothy`s Return,Legends of Oz: Dorothy`s Return
Blackhat,Blackhat,Blackhat
Sky Captain and the World of Tomorrow,Sky Captain and the World of Tomorrow,Sky Captain and the World of Tomorrow
Basic Instinct 2,Basic Instinct 2,Basic Instinct 2
Escape Plan,Escape Plan,Escape Plan
The Legend of Hercules,The Legend of Hercules,The Legend of Hercules
The Sum of All Fears,The Sum of All Fears,The Sum of All Fears
The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse
The Score,The Score,The Score
Despicable Me,Despicable Me,Despicable Me
Money Train,Money Train,Money Train
Ted 2,Ted 2,Ted 2
Agora,Agora,Agora
Mystery Men,Mystery Men,Mystery Men
Hall Pass,Hall Pass,Hall Pass
The Insider,The Insider,The Insider
The Finest Hours,The Finest Hours,The Finest Hours
Body of Lies,Body of Lies,Body of Lies
Dinner for Schmucks,Dinner for Schmucks,Dinner for Schmucks
Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter
Entrapment,Entrapment,Entrapment
The X Files,The X Files,The X Files
The Last Legion,The Last Legion,The Last Legion
Saving Private Ryan,Saving Private Ryan,Saving Private Ryan
Need for Speed,Need for Speed,Need for Speed
What Women Want,What Women Want,What Women Want
Ice Age,Ice Age,Ice Age
Dreamcatcher,Dreamcatcher,Dreamcatcher
Lincoln,Lincoln,Lincoln
The Matrix,The Matrix,The Matrix
Apollo 13,Apollo 13,Apollo 13
The Santa Clause 2,The Santa Clause 2,The Santa Clause 2
Les Misérables,Les Misérables,Les Misérables
You've Got Mail,You`ve Got Mail,You`ve Got Mail
Step Brothers,Step Brothers,Step Brothers
The Mask of Zorro,The Mask of Zorro,The Mask of Zorro
Due Date,Due Date,Due Date
Unbroken,Unbroken,Unbroken
Space Cowboys,Space Cowboys,Space Cowboys
Cliffhanger,Cliffhanger,Cliffhanger
Broken Arrow,Broken Arrow,Broken Arrow
The Kid,The Kid,The Kid
World Trade Center,World Trade Center,World Trade Center
Mona Lisa Smile,Mona Lisa Smile,Mona Lisa Smile
The Dictator,The Dictator,The Dictator
Eyes Wide Shut,Eyes Wide Shut,Eyes Wide Shut
Annie,Annie,Annie
Focus,Focus,Focus
This Means War,This Means War,This Means War
Blade: Trinity,Blade: Trinity,Blade: Trinity
Red Dawn,Red Dawn,Red Dawn
Primary Colors,Primary Colors,Primary Colors
Resident Evil: Retribution,Resident Evil: Retribution,Resident Evil: Retribution
Death Race,Death Race,Death Race
The Long Kiss Goodnight,The Long Kiss Goodnight,The Long Kiss Goodnight
Proof of Life,Proof of Life,Proof of Life
Zathura: A Space Adventure,Zathura: A Space Adventure,Zathura: A Space Adventure
Fight Club,Fight Club,Fight Club
We Are Marshall,We Are Marshall,We Are Marshall
Hudson Hawk,Hudson Hawk,Hudson Hawk
Lucky Numbers,Lucky Numbers,Lucky Numbers
"I, Frankenstein","I, Frankenstein","I, Frankenstein"
Oliver Twist,Oliver Twist,Oliver Twist
Elektra,Elektra,Elektra
Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For
Random Hearts,Random Hearts,Random Hearts
Everest,Everest,Everest
Perfume: The Story of a Murderer,Perfume: The Story of a Murderer,Perfume: The Story of a Murderer
Austin Powers in Goldmember,Austin Powers in Goldmember,Austin Powers in Goldmember
Astro Boy,Astro Boy,Astro Boy
Jurassic Park,Jurassic Park,Jurassic Park
Wyatt Earp,Wyatt Earp,Wyatt Earp
Clear and Present Danger,Clear and Present Danger,Clear and Present Danger
Dragon Blade,Dragon Blade,Dragon Blade
Little Man,Little Man,Little Man
U-571,U-571,U-571
The American President,The American President,The American President
The Love Guru,The Love Guru,The Love Guru
3000 Miles to Graceland,3000 Miles to Graceland,3000 Miles to Graceland
The Hateful Eight,The Hateful Eight,The Hateful Eight
Blades of Glory,Blades of Glory,Blades of Glory
Hop,Hop,Hop
300,300,300
Meet the Fockers,Meet the Fockers,Meet the Fockers
Marley & Me,Marley & Me,Marley (and) Me
The Green Mile,The Green Mile,The Green Mile
Wild Hogs,Wild Hogs,Wild Hogs
Chicken Little,Chicken Little,Chicken Little
Gone Girl,Gone Girl,Gone Girl
The Bourne Identity,The Bourne Identity,The Bourne Identity
GoldenEye,GoldenEye,GoldenEye
The General's Daughter,The General`s Daughter,The General`s Daughter
The Truman Show,The Truman Show,The Truman Show
The Prince of Egypt,The Prince of Egypt,The Prince of Egypt
Daddy Day Care,Daddy Day Care,Daddy Day Care
2 Guns,2 Guns,2 Guns
Cats & Dogs,Cats & Dogs,Cats (and) Dogs
The Italian Job,The Italian Job,The Italian Job
Two Weeks Notice,Two Weeks Notice,Two Weeks Notice
Antz,Antz,Antz
Couples Retreat,Couples Retreat,Couples Retreat
Days of Thunder,Days of Thunder,Days of Thunder
Cheaper by the Dozen 2,Cheaper by the Dozen 2,Cheaper by the Dozen 2
Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials
Eat Pray Love,Eat Pray Love,Eat Pray Love
The Family Man,The Family Man,The Family Man
RED,RED,RED
Any Given Sunday,Any Given Sunday,Any Given Sunday
The Horse Whisperer,The Horse Whisperer,The Horse Whisperer
Collateral,Collateral,Collateral
The Scorpion King,The Scorpion King,The Scorpion King
Ladder 49,Ladder 49,Ladder 49
Jack Reacher,Jack Reacher,Jack Reacher
Deep Blue Sea,Deep Blue Sea,Deep Blue Sea
This Is It,This Is It,This Is It
Contagion,Contagion,Contagion
Kangaroo Jack,Kangaroo Jack,Kangaroo Jack
Coraline,Coraline,Coraline
The Happening,The Happening,The Happening
Man on Fire,Man on Fire,Man on Fire
The Shaggy Dog,The Shaggy Dog,The Shaggy Dog
Starsky & Hutch,Starsky & Hutch,Starsky (and) Hutch
Jingle All the Way,Jingle All the Way,Jingle All the Way
Hellboy,Hellboy,Hellboy
A Civil Action,A Civil Action,A Civil Action
ParaNorman,ParaNorman,ParaNorman
The Jackal,The Jackal,The Jackal
Paycheck,Paycheck,Paycheck
Up Close & Personal,Up Close & Personal,Up Close (and) Personal
The Tale of Despereaux,The Tale of Despereaux,The Tale of Despereaux
The Tuxedo,The Tuxedo,The Tuxedo
Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory
Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit
Joy,Joy,Joy
London Has Fallen,London Has Fallen,London Has Fallen
Alien: Resurrection,Alien: Resurrection,Alien: Resurrection
Shooter,Shooter,Shooter
The Boxtrolls,The Boxtrolls,The Boxtrolls
Practical Magic,Practical Magic,Practical Magic
The Lego Movie,The Lego Movie,The Lego Movie
Miss Congeniality 2: Armed and Fabulous,Miss Congeniality 2: Armed and Fabulous,Miss Congeniality 2: Armed and Fabulous
Reign of Fire,Reign of Fire,Reign of Fire
Gangster Squad,Gangster Squad,Gangster Squad
Year One,Year One,Year One
Invictus,Invictus,Invictus
State of Play,State of Play,State of Play
Duplicity,Duplicity,Duplicity
My Favorite Martian,My Favorite Martian,My Favorite Martian
The Sentinel,The Sentinel,The Sentinel
Planet 51,Planet 51,Planet 51
Star Trek: Nemesis,Star Trek: Nemesis,Star Trek: Nemesis
Intolerable Cruelty,Intolerable Cruelty,Intolerable Cruelty
Trouble with the Curve,Trouble with the Curve,Trouble with the Curve
Edge of Darkness,Edge of Darkness,Edge of Darkness
The Relic,The Relic,The Relic
Analyze That,Analyze That,Analyze That
Righteous Kill,Righteous Kill,Righteous Kill
Mercury Rising,Mercury Rising,Mercury Rising
The Soloist,The Soloist,The Soloist
The Legend of Bagger Vance,The Legend of Bagger Vance,The Legend of Bagger Vance
Almost Famous,Almost Famous,Almost Famous
Garfield: A Tail of Two Kitties,Garfield: A Tail of Two Kitties,Garfield: A Tail of Two Kitties
xXx: State of the Union,xXx: State of the Union,xXx: State of the Union
Priest,Priest,Priest
Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas
Event Horizon,Event Horizon,Event Horizon
Dragonfly,Dragonfly,Dragonfly
The Black Dahlia,The Black Dahlia,The Black Dahlia
Flyboys,Flyboys,Flyboys
The Last Castle,The Last Castle,The Last Castle
Supernova,Supernova,Supernova
Winter's Tale,Winter`s Tale,Winter`s Tale
The Mortal Instruments: City of Bones,The Mortal Instruments: City of Bones,The Mortal Instruments: City of Bones
Meet Dave,Meet Dave,Meet Dave
Dark Water,Dark Water,Dark Water
Edtv,Edtv,Edtv
Inkheart,Inkheart,Inkheart
The Spirit,The Spirit,The Spirit
Mortdecai,Mortdecai,Mortdecai
In the Name of the King: A Dungeon Siege Tale,In the Name of the King: A Dungeon Siege Tale,In the Name of the King: A Dungeon Siege Tale
Beyond Borders,Beyond Borders,Beyond Borders
The Monkey King 2,The Monkey King 2,The Monkey King 2
The Great Raid,The Great Raid,The Great Raid
Deadpool,Deadpool,Deadpool
Holy Man,Holy Man,Holy Man
American Sniper,American Sniper,American Sniper
Goosebumps,Goosebumps,Goosebumps
Just Like Heaven,Just Like Heaven,Just Like Heaven
The Flintstones in Viva Rock Vegas,The Flintstones in Viva Rock Vegas,The Flintstones in Viva Rock Vegas
Rambo III,Rambo III,Rambo III
Leatherheads,Leatherheads,Leatherheads
The Ridiculous 6,The Ridiculous 6,The Ridiculous 6
Did You Hear About the Morgans?,Did You Hear About the Morgans?,Did You Hear About the Morgans?
The Internship,The Internship,The Internship
Resident Evil: Afterlife,Resident Evil: Afterlife,Resident Evil: Afterlife
Red Tails,Red Tails,Red Tails
The Devil's Advocate,The Devil`s Advocate,The Devil`s Advocate
That's My Boy,That`s My Boy,That`s My Boy
DragonHeart,DragonHeart,DragonHeart
After the Sunset,After the Sunset,After the Sunset
Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit of Vengeance
Captain Corelli's Mandolin,Captain Corelli`s Mandolin,Captain Corelli`s Mandolin
The Pacifier,The Pacifier,The Pacifier
Walking Tall,Walking Tall,Walking Tall
Forrest Gump,Forrest Gump,Forrest Gump
Alvin and the Chipmunks,Alvin and the Chipmunks,Alvin and the Chipmunks
Meet the Parents,Meet the Parents,Meet the Parents
Pocahontas,Pocahontas,Pocahontas
Superman,Superman,Superman
The Nutty Professor,The Nutty Professor,The Nutty Professor
Hitch,Hitch,Hitch
George of the Jungle,George of the Jungle,George of the Jungle
American Wedding,American Wedding,American Wedding
Captain Phillips,Captain Phillips,Captain Phillips
Date Night,Date Night,Date Night
Casper,Casper,Casper
The Equalizer,The Equalizer,The Equalizer
Maid in Manhattan,Maid in Manhattan,Maid in Manhattan
Crimson Tide,Crimson Tide,Crimson Tide
The Pursuit of Happyness,The Pursuit of Happyness,The Pursuit of Happyness
Flightplan,Flightplan,Flightplan
Disclosure,Disclosure,Disclosure
City of Angels,City of Angels,City of Angels
Kill Bill: Vol. 1,Kill Bill: Vol. 1,Kill Bill: Vol. 1
Bowfinger,Bowfinger,Bowfinger
Kill Bill: Vol. 2,Kill Bill: Vol. 2,Kill Bill: Vol. 2
Tango & Cash,Tango & Cash,Tango (and) Cash
Death Becomes Her,Death Becomes Her,Death Becomes Her
Shanghai Noon,Shanghai Noon,Shanghai Noon
Executive Decision,Executive Decision,Executive Decision
Mr. Popper's Penguins,Mr. Popper`s Penguins,Mr. Popper`s Penguins
The Forbidden Kingdom,The Forbidden Kingdom,The Forbidden Kingdom
Free Birds,Free Birds,Free Birds
Alien³,Alien³,Alien³
Evita,Evita,Evita
Ronin,Ronin,Ronin
The Ghost and the Darkness,The Ghost and the Darkness,The Ghost and the Darkness
Paddington,Paddington,Paddington
The Watch,The Watch,The Watch
The Hunted,The Hunted,The Hunted
Instinct,Instinct,Instinct
Stuck on You,Stuck on You,Stuck on You
Semi-Pro,Semi-Pro,Semi-Pro
The Pirates! In an Adventure with Scientists!,The Pirates! In an Adventure with Scientists!,The Pirates! In an Adventure with Scientists!
Changeling,Changeling,Changeling
Chain Reaction,Chain Reaction,Chain Reaction
The Fan,The Fan,The Fan
The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera
Elizabeth: The Golden Age,Elizabeth: The Golden Age,Elizabeth: The Golden Age
Æon Flux,Æon Flux,Æon Flux
Gods and Generals,Gods and Generals,Gods and Generals
Turbulence,Turbulence,Turbulence
Imagine That,Imagine That,Imagine That
Muppets Most Wanted,Muppets Most Wanted,Muppets Most Wanted
Thunderbirds,Thunderbirds,Thunderbirds
Burlesque,Burlesque,Burlesque
A Very Long Engagement,A Very Long Engagement,A Very Long Engagement
Lolita,Lolita,Lolita
D-Tox,D-Tox,D-Tox
Blade II,Blade II,Blade II
Seven Pounds,Seven Pounds,Seven Pounds
Bullet to the Head,Bullet to the Head,Bullet to the Head
The Godfather: Part III,The Godfather: Part III,The Godfather: Part III
Elizabethtown,Elizabethtown,Elizabethtown
"You, Me and Dupree","You, Me and Dupree","You, Me and Dupree"
Superman II,Superman II,Superman II
Gigli,Gigli,Gigli
All the King's Men,All the King`s Men,All the King`s Men
Shaft,Shaft,Shaft
Anastasia,Anastasia,Anastasia
Moulin Rouge!,Moulin Rouge!,Moulin Rouge!
Domestic Disturbance,Domestic Disturbance,Domestic Disturbance
